연번,구분,관측지점,2018년 조사 시작일,2018년 조사 완료일,2018년 상행,2018년 하행,2018년 합계,2019년조사 시작일,2019년 조사 종료일,2019년 상행,2019년 하행,2019년 합계,2020년조사 시작일,2020년 조사 종료일,2020년 상행,2020년 하행,2020년 합계,2021년조사 시작일,2021년 조사 종료일,2021년 상행,2021년 하행,2021년 합계,2022년조사 시작일,2022년 조사 종료일,2022년 상행,2022년 하행,2022년 합계
11,군도2호(8-1-2),대산면 유등로 5,2018-10-25,2018-10-26,1107,1380,2487,2019-10-17,2019-10-18,1098,991,2089,2020-10-15,2020-10-16,802,783,1585,2021-10-14,2021-10-15,682,898,1580,2022-10-20,2022-10-21,955,961,1916
12,군도4호(8-1-4),대산면 봉강가술로 583,2018-10-25,2018-10-26,877,946,1823,2019-10-17,2019-10-18,1228,1338,2566,2020-10-15,2020-10-16,1180,877,2057,2021-10-14,2021-10-15,908,1209,2117,2022-10-20,2022-10-21,944,1209,2153
13,군도6호(8-1-6),동읍 다호리 65-22,2018-10-25,2018-10-26,2674,1273,1401,2019-10-17,2019-10-18,2889,2884,5773,2020-10-15,2020-10-16,3042,3007,6049,2021-10-14,2021-10-15,2817,2562,5379,2022-10-20,2022-10-21,2284,2390,4674
14,군도8호(8-1-8),북면 감계리 189-2,2018-10-25,2018-10-26,661,657,1318,2019-10-17,2019-10-18,623,651,1274,2020-10-15,2020-10-16,1602,2168,3770,2021-10-14,2021-10-15,1811,1861,3672,2022-10-20,2022-10-21,6158,5374,11532
15,군도10호(8-1-10),북면 신촌리 402-13,2018-10-25,2018-10-26,1515,1963,3478,2019-10-17,2019-10-18,1368,1490,2858,2020-10-15,2020-10-16,1927,1690,3617,2021-10-14,2021-10-15,2068,1722,3501,2022-10-20,2022-10-21,1401,1495,2896
16,군도1호(38-2-1),내서읍 평성리 661-4,2018-10-25,2018-10-26,8295,7993,16288,2019-10-17,2019-10-18,9045,8857,17902,2020-10-15,2020-10-16,10833,8727,19560,2021-10-14,2021-10-15,9835,9480,19315,2022-10-20,2022-10-21,7888,10196,18084
17,군도3호(38-2-3),구산면 신촌삼거리,2018-10-25,2018-10-26,795,675,1470,2019-10-17,2019-10-18,565,564,1129,2020-10-15,2020-10-16,314,268,582,2021-10-14,2021-10-15,451,444,895,2022-10-20,2022-10-21,561,503,1064
18,군도4호(38-2-4),구산면 유산리 92-5,2018-10-25,2018-10-26,1317,1205,2522,2019-10-17,2019-10-18,1578,1690,3268,2020-10-15,2020-10-16,32,28,60,2021-10-14,2021-10-15,49,36,85,2022-10-20,2022-10-21,680,644,1324
19,군도5호(38-2-5),구산면 수정리 359-6,2018-10-25,2018-10-26,559,288,271,2019-10-17,2019-10-18,294,277,571,2020-10-15,2020-10-16,1250,1181,2431,2021-10-14,2021-10-15,492,533,1025,2022-10-20,2022-10-21,750,768,1518
20,군도9호(38-2-9),내서읍 감천리 878,2018-10-25,2018-10-26,1220,1760,2980,2019-10-17,2019-10-18,1455,1794,3249,2020-10-15,2020-10-16,1408,1728,3136,2021-10-14,2021-10-15,1267,1855,3122,2022-10-20,2022-10-21,1231,1776,3007
